ProductId,StoreId,StoreName,Address,neighborhood,QuantityAvailable
107,71053,Family Dollar,3 Transport Circle,Ashburton,1
108,10002,T.J. Maxx,285 Evergreen Circle,Seton Business Park,12
109,22623,Gordmans,7 Cardinal Terrace,Hampden,10
110,22745,Burlington Coat Factory,7788 Sommers Avenue,Upton,5
111,22914,Five Below,57326 Thierer Center,Washington Village,7
112,71053,Family Dollar,368 Mallory Plaza,Ashburton,4
113,84029,Ocean State Job Lot,69 Iowa Center,Fells Point,1
114,84879,Ben Franklin,7 Shoshone Hill,Bridgeview/Greenlawn,7
115,21756,Roses,1 Marquette Crossing,Frankford,6
116,22310,Meijer,13456 Hayes Avenue,Ellwood Park/Monument,7
117,84879,Ben Franklin,7124 Dovetail Trail,Bridgeview/Greenlawn,1
118,21756,Roses,9 Prentice Place,Frankford,10
119,21883,Bi-Mart,7 Rockefeller Parkway,Washington Village,3
120,22726,Shopko,571 Clarendon Park,Millhill,12
121,22727,Fred Meyer,17010 Schiller Pass,Charles Village,4
122,48187,Dollar General,13538 Ryan Lane,Glen Oaks,1
123,21756,Roses,2 Longview Drive,Frankford,1
124,22914,Five Below,47 Claremont Junction,Washington Village,3
125,21756,Roses,9404 Arizona Court,Frankford,12
126,71053,Family Dollar,47136 Sundown Avenue,Ashburton,12
127,22912,Marshalls,13 Melody Avenue,Central Park Heights,12
128,21791,Dollar Tree,805 Eggendart Plaza,Mondawmin,3
129,84969,Dd's Discounts,60609 Wayridge Junction,Canton,2
130,22633,Big Lots,947 Kingsford Parkway,Brooklyn,2
131,21791,Dollar Tree,83 South Place,Mondawmin,7
132,22728,HomeSense,943 South Drive,Glenham-Belford,4
133,37444,Ollie's Bargain Outlet,23 Esch Center,Charles Village,5
134,21035,Bargain Hunt,517 David Park,Mount Holly,2
135,22310,Meijer,9 Nelson Hill,Ellwood Park/Monument,9
136,71053,Family Dollar,2 Harper Way,Ashburton,1
137,22914,Five Below,83 Michigan Circle,Washington Village,6
138,22633,Big Lots,4 Hayes Crossing,Brooklyn,1
139,22726,Shopko,72026 Evergreen Drive,Millhill,11
140,10002,T.J. Maxx,73083 Darwin Park,Seton Business Park,4
141,21756,Roses,1 Dakota Drive,Frankford,11
142,71053,Family Dollar,05873 Dovetail Parkway,Ashburton,8
143,84406,BJ's Wholesale Club,2 Fairfield Court,Morrell Park,11
144,22749,Gabe's,35 Evergreen Drive,Oliver,4
145,21724,Kmart,81 Forest Run Hill,Cherry Hill,6
146,21756,Roses,0524 Anhalt Lane,Frankford,7
147,21754,Ross Stores,44 Drewry Street,Better Waverly,12
148,84969,Dd's Discounts,0 Corscot Point,Canton,2
149,22728,HomeSense,15 Kipling Court,Glenham-Belford,1
150,21883,Bi-Mart,58468 Armistice Drive,Washington Village,1
151,84969,Dd's Discounts,3 Burrows Crossing,Canton,12
152,71053,Family Dollar,8 Mockingbird Court,Ashburton,4
153,22632,HomeGoods,14852 Jenna Avenue,Hunting Ridge,1
154,21754,Ross Stores,8566 Clove Hill,Better Waverly,9
155,22745,Burlington Coat Factory,0200 Westport Circle,Upton,3
156,71053,Family Dollar,260 Kinsman Street,Ashburton,11
157,84879,Ben Franklin,12375 Almo Junction,Bridgeview/Greenlawn,6
158,22633,Big Lots,46 Schlimgen Hill,Brooklyn,9
159,21883,Bi-Mart,43 Spohn Crossing,Washington Village,12
160,22633,Big Lots,3440 Mcbride Court,Brooklyn,3
161,21777,Walmart,9630 Dahle Hill,Sabina-Mattfeldt,3
162,22913,Stein Mart,68257 Bellgrove Way,Gay Street,9
163,22752,Costco,1497 Cordelia Point,Baltimore Highlands,2
164,22310,Meijer,49695 Quincy Alley,Ellwood Park/Monument,8
165,84029,Ocean State Job Lot,84 Bellgrove Lane,Fells Point,3
166,22622,Target,17 Kim Circle,Hoes Heights,3
167,37444,Ollie's Bargain Outlet,00109 Forest Run Point,Charles Village,1
168,22749,Gabe's,35736 Lukken Drive,Oliver,1
169,21756,Roses,76813 Hoffman Crossing,Frankford,3
170,22728,HomeSense,688 Hanover Road,Glenham-Belford,2
171,21777,Walmart,2514 Summit Court,Sabina-Mattfeldt,3
172,22749,Gabe's,8 Milwaukee Way,Oliver,7
173,21035,Bargain Hunt,72321 Stuart Road,Mount Holly,4
174,22622,Target,22 Mifflin Junction,Hoes Heights,3
175,84879,Ben Franklin,8425 Mandrake Point,Bridgeview/Greenlawn,11
176,21756,Roses,40477 Caliangt Center,Frankford,11
177,22748,Renys,17793 Chinook Parkway,Port Covington,7
178,10002,T.J. Maxx,0124 Kingsford Hill,Seton Business Park,1
179,21755,Tuesday Morning,26176 Acker Pass,Belair-Edison,1
180,84029,Ocean State Job Lot,581 Buhler Parkway,Fells Point,7
181,21777,Walmart,82167 Russell Junction,Sabina-Mattfeldt,12
182,71053,Family Dollar,1 Canary Center,Ashburton,1
183,84879,Ben Franklin,6 Westend Plaza,Bridgeview/Greenlawn,11
184,37444,Ollie's Bargain Outlet,4 Cascade Terrace,Charles Village,4
185,21035,Bargain Hunt,5 Autumn Leaf Pass,Mount Holly,4
186,84406,BJ's Wholesale Club,82 Trailsway Junction,Morrell Park,3
187,22726,Shopko,3 Bashford Park,Millhill,2
188,22745,Burlington Coat Factory,65 Melvin Court,Upton,4
189,22726,Shopko,417 Ilene Lane,Millhill,1
190,22726,Shopko,595 Sugar Street,Millhill,1
191,37444,Ollie's Bargain Outlet,8 Vidon Place,Charles Village,10
192,21777,Walmart,655 Union Center,Sabina-Mattfeldt,1
193,21791,Dollar Tree,0 Merry Hill,Mondawmin,9
194,21756,Roses,13 Chinook Way,Frankford,5
195,84029,Ocean State Job Lot,3627 Elka Center,Fells Point,2
196,21777,Walmart,57004 Sauthoff Avenue,Sabina-Mattfeldt,12
197,22748,Renys,71593 Macpherson Way,Port Covington,10
198,21724,Kmart,7022 Toban Crossing,Cherry Hill,1
199,22752,Costco,45038 Commercial Avenue,Baltimore Highlands,4
200,22914,Five Below,68 Jenna Parkway,Washington Village,8
201,22727,Fred Meyer,223 Old Gate Trail,Charles Village,9
202,22912,Marshalls,79174 Eliot Plaza,Central Park Heights,9
203,21755,Tuesday Morning,5428 Judy Hill,Belair-Edison,5
204,37444,Ollie's Bargain Outlet,33113 Arizona Avenue,Charles Village,7
205,84029,Ocean State Job Lot,052 Di Loreto Circle,Fells Point,12
206,10002,T.J. Maxx,308 Forest Run Pass,Seton Business Park,12
207,37444,Ollie's Bargain Outlet,303 Atwood Way,Charles Village,10
208,84029,Ocean State Job Lot,86009 Summer Ridge Alley,Fells Point,8
209,37444,Ollie's Bargain Outlet,125 Lakewood Gardens Trail,Charles Village,1
210,21730,Fred's,677 David Alley,Pulaski Industrial Area,9
211,21756,Roses,2457 Northfield Circle,Frankford,3
212,22310,Meijer,16 Welch Avenue,Ellwood Park/Monument,1
213,22726,Shopko,09 Reindahl Drive,Millhill,11
214,22728,HomeSense,56979 Goodland Court,Glenham-Belford,10
215,21883,Bi-Mart,95 Clove Court,Washington Village,11
216,21791,Dollar Tree,80659 Crownhardt Junction,Mondawmin,11
217,22912,Marshalls,35 Thackeray Road,Central Park Heights,2
218,84406,BJ's Wholesale Club,8 Bobwhite Road,Morrell Park,9
219,22749,Gabe's,4 Lerdahl Circle,Oliver,12
220,22745,Burlington Coat Factory,2629 Pennsylvania Lane,Upton,7
221,22622,Target,06038 Talisman Park,Hoes Heights,7
222,22623,Gordmans,60 Dennis Crossing,Hampden,6
223,84029,Ocean State Job Lot,14 Mariners Cove Alley,Fells Point,10
224,84879,Ben Franklin,8 Monica Alley,Bridgeview/Greenlawn,11
225,22752,Costco,084 Starling Crossing,Baltimore Highlands,3
226,22913,Stein Mart,8 Pleasure Drive,Gay Street,3
227,22749,Gabe's,131 Everett Circle,Oliver,5
228,22633,Big Lots,96660 Arapahoe Road,Brooklyn,8
229,21730,Fred's,4844 Valley Edge Park,Pulaski Industrial Area,7
230,22748,Renys,9 Knutson Point,Port Covington,2
231,22748,Renys,935 Delladonna Way,Port Covington,11
232,84879,Ben Franklin,447 Barnett Place,Bridgeview/Greenlawn,12
233,21035,Bargain Hunt,4 Lawn Lane,Mount Holly,7
234,10002,T.J. Maxx,494 Artisan Junction,Seton Business Park,2
235,71053,Family Dollar,2 Sullivan Pass,Ashburton,3
236,22727,Fred Meyer,84 Aberg Crossing,Charles Village,7
237,22913,Stein Mart,9957 Gerald Alley,Gay Street,1
238,22752,Costco,0826 Sachs Way,Baltimore Highlands,3
239,71053,Family Dollar,9 Vahlen Pass,Ashburton,5
240,22745,Burlington Coat Factory,7752 Barby Center,Upton,1
241,10002,T.J. Maxx,0 Montana Court,Seton Business Park,9
242,22960,Harbor Freight Tools,1 Londonderry Park,Loch Raven,7
243,22633,Big Lots,81811 Debra Pass,Brooklyn,10
244,22960,Harbor Freight Tools,1 Fulton Hill,Loch Raven,4
245,22745,Burlington Coat Factory,2 Express Pass,Upton,7
246,22728,HomeSense,6 3rd Junction,Glenham-Belford,3
247,22914,Five Below,22 Northland Plaza,Washington Village,5
248,21724,Kmart,7330 John Wall Place,Cherry Hill,2
249,85123,National Stores,26 Straubel Hill,Bolton Hill,3
250,84969,Dd's Discounts,1 Grover Trail,Canton,11
251,22914,Five Below,55750 Village Way,Washington Village,5
252,22960,Harbor Freight Tools,58626 Morning Pass,Loch Raven,8
253,22913,Stein Mart,37754 La Follette Avenue,Gay Street,9
254,21754,Ross Stores,03 Debs Crossing,Better Waverly,5
255,84406,BJ's Wholesale Club,904 Mockingbird Junction,Morrell Park,10
256,22726,Shopko,613 Gerald Trail,Millhill,8
257,85123,National Stores,925 Pennsylvania Parkway,Bolton Hill,8
258,22913,Stein Mart,10 Burning Wood Parkway,Gay Street,5
259,84879,Ben Franklin,06 Mcbride Junction,Bridgeview/Greenlawn,3
260,22727,Fred Meyer,50607 Schurz Junction,Charles Village,11
261,22749,Gabe's,5 Ohio Junction,Oliver,2
262,10002,T.J. Maxx,7905 Eastwood Crossing,Seton Business Park,4
263,22912,Marshalls,256 Grover Lane,Central Park Heights,5
264,85123,National Stores,60899 Westport Way,Bolton Hill,7
265,21724,Kmart,70933 Heffernan Street,Cherry Hill,8
266,22912,Marshalls,4 Crownhardt Crossing,Central Park Heights,3
267,84879,Ben Franklin,462 Sunbrook Drive,Bridgeview/Greenlawn,6
268,22752,Costco,99 Evergreen Parkway,Baltimore Highlands,3
269,48187,Dollar General,769 Meadow Ridge Junction,Glen Oaks,9
270,22748,Renys,3 Upham Park,Port Covington,1
271,22745,Burlington Coat Factory,727 Goodland Center,Upton,2
272,22623,Gordmans,73345 Briar Crest Point,Hampden,2
273,21724,Kmart,4 Derek Alley,Cherry Hill,12
274,22622,Target,0 Lakeland Junction,Hoes Heights,3
275,22752,Costco,50689 La Follette Alley,Baltimore Highlands,10
276,22727,Fred Meyer,8407 Manitowish Alley,Charles Village,7
277,21777,Walmart,1830 Forest Dale Parkway,Sabina-Mattfeldt,5
278,10002,T.J. Maxx,2613 Shoshone Drive,Seton Business Park,1
279,21724,Kmart,36 Brickson Park Hill,Cherry Hill,4
280,22749,Gabe's,09471 1st Circle,Oliver,5
281,22914,Five Below,23 Doe Crossing Center,Washington Village,2
282,22749,Gabe's,6 Chinook Alley,Oliver,12
283,22728,HomeSense,589 Norway Maple Park,Glenham-Belford,7
284,22749,Gabe's,175 Melby Terrace,Oliver,3
285,84969,Dd's Discounts,87927 Riverside Parkway,Canton,6
286,21777,Walmart,881 Eagan Way,Sabina-Mattfeldt,3
287,10002,T.J. Maxx,31187 Maywood Trail,Seton Business Park,11
288,22748,Renys,93957 Kim Avenue,Port Covington,2
289,22914,Five Below,9 Harbort Alley,Washington Village,5
290,22745,Burlington Coat Factory,15 Pawling Alley,Upton,12
291,22727,Fred Meyer,31 Mcguire Road,Charles Village,9
292,85123,National Stores,73 Mcbride Way,Bolton Hill,4
293,84879,Ben Franklin,946 Waywood Pass,Bridgeview/Greenlawn,7
294,22912,Marshalls,59345 Dryden Court,Central Park Heights,9
295,84406,BJ's Wholesale Club,9616 6th Circle,Morrell Park,4
296,22749,Gabe's,02 Rieder Road,Oliver,9
297,22727,Fred Meyer,5804 Summit Lane,Charles Village,1
298,22727,Fred Meyer,019 Utah Pass,Charles Village,2
299,22960,Harbor Freight Tools,59902 Fisk Road,Loch Raven,11
300,21754,Ross Stores,98 American Alley,Better Waverly,11
301,21791,Dollar Tree,88 Almo Junction,Mondawmin,3
302,84879,Ben Franklin,1879 Aberg Drive,Bridgeview/Greenlawn,8
303,21724,Kmart,9 Melby Crossing,Cherry Hill,6
304,22310,Meijer,3647 Hermina Road,Ellwood Park/Monument,12
305,22745,Burlington Coat Factory,17985 Anderson Terrace,Upton,7
306,84029,Ocean State Job Lot,05 Atwood Drive,Fells Point,10
307,37444,Ollie's Bargain Outlet,15 Mesta Alley,Charles Village,2
308,84406,BJ's Wholesale Club,95130 Columbus Terrace,Morrell Park,8
309,21730,Fred's,8 Lunder Terrace,Pulaski Industrial Area,5
310,22728,HomeSense,8072 Aberg Alley,Glenham-Belford,1
311,85123,National Stores,2183 Paget Terrace,Bolton Hill,12
312,22728,HomeSense,1 Del Mar Way,Glenham-Belford,6
313,22745,Burlington Coat Factory,2 Roth Park,Upton,8
314,22914,Five Below,795 Sloan Avenue,Washington Village,3
315,22632,HomeGoods,49989 Lerdahl Center,Hunting Ridge,10
316,22913,Stein Mart,7774 Eliot Junction,Gay Street,8
317,22745,Burlington Coat Factory,2 Oak Circle,Upton,3
318,21730,Fred's,2399 Artisan Junction,Pulaski Industrial Area,8
319,22726,Shopko,060 Merry Pass,Millhill,10
320,71053,Family Dollar,74 Aberg Trail,Ashburton,10
321,48187,Dollar General,28505 Farragut Way,Glen Oaks,7
322,10002,T.J. Maxx,36 Main Pass,Seton Business Park,11
323,22913,Stein Mart,0966 Mayfield Street,Gay Street,12
324,10002,T.J. Maxx,7480 Main Drive,Seton Business Park,6
325,84969,Dd's Discounts,9609 Menomonie Lane,Canton,6
326,22752,Costco,7 Arapahoe Court,Baltimore Highlands,11
327,22749,Gabe's,71705 Brown Alley,Oliver,8
328,48187,Dollar General,79768 Hudson Terrace,Glen Oaks,9
329,22745,Burlington Coat Factory,3 Hayes Court,Upton,9
330,22749,Gabe's,9270 2nd Way,Oliver,12
331,84879,Ben Franklin,9449 Mallory Street,Bridgeview/Greenlawn,12
332,37444,Ollie's Bargain Outlet,22711 Shelley Park,Charles Village,3
333,21754,Ross Stores,36 Little Fleur Lane,Better Waverly,6
334,21756,Roses,63 Briar Crest Drive,Frankford,1
335,22622,Target,25 Toban Road,Hoes Heights,3
336,21755,Tuesday Morning,66727 Dixon Street,Belair-Edison,9
337,22726,Shopko,0 Hallows Hill,Millhill,2
338,84879,Ben Franklin,633 Arrowood Way,Bridgeview/Greenlawn,10
339,22726,Shopko,24 Oak Valley Alley,Millhill,1
340,22632,HomeGoods,32 Bluestem Park,Hunting Ridge,8
341,22913,Stein Mart,8402 Luster Parkway,Gay Street,3
342,22749,Gabe's,799 Johnson Crossing,Oliver,1
343,22749,Gabe's,35426 Armistice Point,Oliver,6
344,21754,Ross Stores,277 Loftsgordon Plaza,Better Waverly,5
345,37444,Ollie's Bargain Outlet,8753 Autumn Leaf Circle,Charles Village,4
346,84406,BJ's Wholesale Club,6 Green Junction,Morrell Park,6
347,37444,Ollie's Bargain Outlet,7 Merchant Way,Charles Village,2
348,37444,Ollie's Bargain Outlet,038 Hovde Junction,Charles Village,12
349,37444,Ollie's Bargain Outlet,0 Truax Crossing,Charles Village,1
350,21035,Bargain Hunt,28 Dennis Pass,Mount Holly,12
351,21791,Dollar Tree,1 Fordem Way,Mondawmin,10
352,22960,Harbor Freight Tools,4310 Hollow Ridge Street,Loch Raven,5
353,22728,HomeSense,2 Calypso Park,Glenham-Belford,9
354,21730,Fred's,710 Summerview Parkway,Pulaski Industrial Area,8
355,22310,Meijer,41 Scott Parkway,Ellwood Park/Monument,10
356,22912,Marshalls,6965 School Point,Central Park Heights,9
357,21730,Fred's,05547 Mendota Plaza,Pulaski Industrial Area,5
358,84406,BJ's Wholesale Club,8 Redwing Way,Morrell Park,3
359,22960,Harbor Freight Tools,75 Haas Trail,Loch Raven,10
360,21754,Ross Stores,22 Barby Point,Better Waverly,1
361,10002,T.J. Maxx,7908 Lukken Hill,Seton Business Park,8
362,84879,Ben Franklin,22 Mariners Cove Crossing,Bridgeview/Greenlawn,9
363,21777,Walmart,51591 Morning Trail,Sabina-Mattfeldt,7
364,22912,Marshalls,3516 Bay Pass,Central Park Heights,11
365,21730,Fred's,0055 Annamark Terrace,Pulaski Industrial Area,12
366,22960,Harbor Freight Tools,863 Rockefeller Park,Loch Raven,12
367,84029,Ocean State Job Lot,208 Barnett Junction,Fells Point,2
368,22748,Renys,10134 Luster Park,Port Covington,10
369,84969,Dd's Discounts,4309 Grayhawk Park,Canton,7
370,22623,Gordmans,313 Transport Court,Hampden,8
371,84879,Ben Franklin,12 Northwestern Court,Bridgeview/Greenlawn,1
372,21777,Walmart,2 Texas Lane,Sabina-Mattfeldt,3
373,71053,Family Dollar,91558 Dawn Parkway,Ashburton,7
374,85123,National Stores,5787 Dexter Hill,Bolton Hill,12
375,21791,Dollar Tree,5193 Moland Hill,Mondawmin,2
376,22310,Meijer,26030 Green Lane,Ellwood Park/Monument,3
377,21777,Walmart,47909 John Wall Avenue,Sabina-Mattfeldt,2
378,21730,Fred's,7 Moland Avenue,Pulaski Industrial Area,4
379,21756,Roses,4891 School Trail,Frankford,10
380,22752,Costco,3 Arapahoe Avenue,Baltimore Highlands,11
381,22913,Stein Mart,545 Division Point,Gay Street,3
382,22752,Costco,24 Florence Terrace,Baltimore Highlands,12
383,21754,Ross Stores,4193 Clove Crossing,Better Waverly,12
384,84879,Ben Franklin,88 Sunfield Trail,Bridgeview/Greenlawn,7
385,84879,Ben Franklin,0 Bartelt Point,Bridgeview/Greenlawn,2
386,22749,Gabe's,10155 Mifflin Center,Oliver,8
387,22960,Harbor Freight Tools,7356 South Drive,Loch Raven,8
388,10002,T.J. Maxx,0 North Place,Seton Business Park,1
389,10002,T.J. Maxx,9152 Fremont Alley,Seton Business Park,12
390,21791,Dollar Tree,586 Ruskin Park,Mondawmin,6
391,71053,Family Dollar,9773 Glacier Hill Terrace,Ashburton,11
392,21730,Fred's,04 Sheridan Street,Pulaski Industrial Area,11
393,21777,Walmart,25 Corscot Road,Sabina-Mattfeldt,10
394,71053,Family Dollar,4 South Road,Ashburton,5
395,22914,Five Below,1 Barby Way,Washington Village,8
396,22632,HomeGoods,542 Browning Place,Hunting Ridge,6
397,21756,Roses,11 Bellgrove Junction,Frankford,10
398,48187,Dollar General,9680 Ronald Regan Hill,Glen Oaks,8
399,22622,Target,5 Armistice Hill,Hoes Heights,2
400,48187,Dollar General,56 Trailsway Place,Glen Oaks,5
401,21724,Kmart,608 Pennsylvania Crossing,Cherry Hill,9
402,37444,Ollie's Bargain Outlet,75 Rieder Avenue,Charles Village,7
403,71053,Family Dollar,0 Spenser Road,Ashburton,2
404,22727,Fred Meyer,23 Beilfuss Street,Charles Village,2
405,71053,Family Dollar,0 Bartillon Pass,Ashburton,7
406,22310,Meijer,31 Upham Park,Ellwood Park/Monument,10
407,21777,Walmart,1062 Brickson Park Pass,Sabina-Mattfeldt,7
408,22728,HomeSense,47 Garrison Drive,Glenham-Belford,10
409,48187,Dollar General,560 Sunbrook Place,Glen Oaks,7
410,84879,Ben Franklin,6634 6th Street,Bridgeview/Greenlawn,10
411,21777,Walmart,53066 Sycamore Pass,Sabina-Mattfeldt,12
412,22745,Burlington Coat Factory,12 Jana Point,Upton,2
413,21883,Bi-Mart,5 Merrick Way,Washington Village,8
414,22752,Costco,3 South Park,Baltimore Highlands,1
415,22745,Burlington Coat Factory,76 Golden Leaf Trail,Upton,9
416,21724,Kmart,6877 Hooker Hill,Cherry Hill,1
417,84879,Ben Franklin,88110 Walton Street,Bridgeview/Greenlawn,1
418,22623,Gordmans,521 Pierstorff Pass,Hampden,2
419,22726,Shopko,7537 Maywood Place,Millhill,7
420,21724,Kmart,6423 Vahlen Court,Cherry Hill,3
421,22912,Marshalls,4633 Marquette Way,Central Park Heights,9
422,48187,Dollar General,01 Brickson Park Center,Glen Oaks,11
423,48187,Dollar General,21952 Hagan Alley,Glen Oaks,1
424,84029,Ocean State Job Lot,8 Westerfield Hill,Fells Point,11
425,21730,Fred's,211 Hovde Terrace,Pulaski Industrial Area,6
426,85123,National Stores,4 Fallview Trail,Bolton Hill,10
427,10002,T.J. Maxx,9 Morningstar Crossing,Seton Business Park,8
428,21777,Walmart,7 Mayfield Crossing,Sabina-Mattfeldt,6
429,22914,Five Below,496 Heffernan Park,Washington Village,5
430,22912,Marshalls,3 Trailsway Trail,Central Park Heights,11
431,21754,Ross Stores,8 Roxbury Parkway,Better Waverly,7
432,21724,Kmart,8 Burrows Circle,Cherry Hill,5
